Zeit 	Pegel
1.8.2022, 00:00 Uhr 	120 cm
31.7.2022, 23:00 Uhr 	120 cm
31.7.2022, 22:00 Uhr 	120 cm
31.7.2022, 21:00 Uhr 	120 cm
31.7.2022, 20:00 Uhr 	121 cm
31.7.2022, 19:00 Uhr 	119 cm
31.7.2022, 18:00 Uhr 	120 cm
31.7.2022, 17:00 Uhr 	118 cm
31.7.2022, 16:00 Uhr 	118 cm
31.7.2022, 15:00 Uhr 	118 cm
31.7.2022, 14:00 Uhr 	117 cm
31.7.2022, 13:00 Uhr 	115 cm
31.7.2022, 12:00 Uhr 	116 cm
31.7.2022, 11:00 Uhr 	115 cm
31.7.2022, 10:00 Uhr 	115 cm
31.7.2022, 09:00 Uhr 	117 cm
31.7.2022, 08:00 Uhr 	115 cm
31.7.2022, 07:00 Uhr 	115 cm
31.7.2022, 06:00 Uhr 	116 cm
31.7.2022, 05:00 Uhr 	115 cm
31.7.2022, 04:00 Uhr 	115 cm
31.7.2022, 03:00 Uhr 	117 cm
31.7.2022, 02:00 Uhr 	116 cm
31.7.2022, 01:00 Uhr 	116 cm
31.7.2022, 00:00 Uhr 	118 cm
30.7.2022, 23:00 Uhr 	116 cm
30.7.2022, 22:00 Uhr 	116 cm
30.7.2022, 21:00 Uhr 	116 cm
30.7.2022, 20:00 Uhr 	116 cm
30.7.2022, 19:00 Uhr 	116 cm
30.7.2022, 18:00 Uhr 	116 cm
30.7.2022, 17:00 Uhr 	117 cm
30.7.2022, 16:00 Uhr 	118 cm
30.7.2022, 15:00 Uhr 	118 cm
30.7.2022, 14:00 Uhr 	118 cm
30.7.2022, 13:00 Uhr 	119 cm
30.7.2022, 12:00 Uhr 	119 cm
30.7.2022, 11:00 Uhr 	119 cm
30.7.2022, 10:00 Uhr 	120 cm
30.7.2022, 09:00 Uhr 	117 cm
30.7.2022, 08:00 Uhr 	120 cm
30.7.2022, 07:00 Uhr 	120 cm
30.7.2022, 06:00 Uhr 	120 cm
30.7.2022, 05:00 Uhr 	120 cm
30.7.2022, 04:00 Uhr 	120 cm
30.7.2022, 03:00 Uhr 	119 cm
30.7.2022, 02:00 Uhr 	119 cm
30.7.2022, 01:00 Uhr 	121 cm
30.7.2022, 00:00 Uhr 	120 cm
29.7.2022, 23:00 Uhr 	119 cm
29.7.2022, 22:00 Uhr 	118 cm
29.7.2022, 21:00 Uhr 	118 cm
29.7.2022, 20:00 Uhr 	118 cm
29.7.2022, 19:00 Uhr 	118 cm
29.7.2022, 18:00 Uhr 	118 cm
29.7.2022, 17:00 Uhr 	118 cm
29.7.2022, 16:00 Uhr 	118 cm
29.7.2022, 15:00 Uhr 	117 cm
29.7.2022, 14:00 Uhr 	117 cm
29.7.2022, 13:00 Uhr 	116 cm
29.7.2022, 12:00 Uhr 	117 cm
29.7.2022, 11:00 Uhr 	118 cm
29.7.2022, 10:00 Uhr 	117 cm
29.7.2022, 09:00 Uhr 	117 cm
29.7.2022, 08:00 Uhr 	118 cm
29.7.2022, 07:00 Uhr 	116 cm
29.7.2022, 06:00 Uhr 	116 cm
29.7.2022, 05:00 Uhr 	116 cm
29.7.2022, 04:00 Uhr 	117 cm
29.7.2022, 03:00 Uhr 	117 cm
29.7.2022, 02:00 Uhr 	117 cm
29.7.2022, 01:00 Uhr 	118 cm
29.7.2022, 00:00 Uhr 	117 cm
28.7.2022, 23:00 Uhr 	117 cm
28.7.2022, 22:00 Uhr 	117 cm
28.7.2022, 21:00 Uhr 	119 cm
28.7.2022, 20:00 Uhr 	118 cm
28.7.2022, 19:00 Uhr 	118 cm
28.7.2022, 18:00 Uhr 	117 cm
28.7.2022, 17:00 Uhr 	118 cm
28.7.2022, 16:00 Uhr 	118 cm
28.7.2022, 15:00 Uhr 	119 cm
28.7.2022, 14:00 Uhr 	117 cm
28.7.2022, 13:00 Uhr 	117 cm
28.7.2022, 12:00 Uhr 	118 cm
28.7.2022, 11:00 Uhr 	118 cm
28.7.2022, 10:00 Uhr 	117 cm
28.7.2022, 09:00 Uhr 	117 cm
28.7.2022, 08:00 Uhr 	118 cm
28.7.2022, 07:00 Uhr 	117 cm
28.7.2022, 06:00 Uhr 	118 cm
28.7.2022, 05:00 Uhr 	118 cm
28.7.2022, 04:00 Uhr 	118 cm
28.7.2022, 03:00 Uhr 	118 cm
28.7.2022, 02:00 Uhr 	119 cm
28.7.2022, 01:00 Uhr 	119 cm
28.7.2022, 00:00 Uhr 	119 cm
27.7.2022, 23:00 Uhr 	120 cm
27.7.2022, 22:00 Uhr 	121 cm
27.7.2022, 21:00 Uhr 	120 cm
27.7.2022, 20:00 Uhr 	121 cm
27.7.2022, 19:00 Uhr 	120 cm
27.7.2022, 18:00 Uhr 	121 cm
27.7.2022, 17:00 Uhr 	121 cm
27.7.2022, 16:00 Uhr 	121 cm
27.7.2022, 15:00 Uhr 	121 cm
27.7.2022, 14:00 Uhr 	121 cm
27.7.2022, 13:00 Uhr 	121 cm
27.7.2022, 12:00 Uhr 	120 cm
27.7.2022, 11:00 Uhr 	120 cm
27.7.2022, 10:00 Uhr 	120 cm
27.7.2022, 09:00 Uhr 	119 cm
27.7.2022, 08:00 Uhr 	119 cm
27.7.2022, 07:00 Uhr 	119 cm
27.7.2022, 06:00 Uhr 	119 cm
27.7.2022, 05:00 Uhr 	120 cm
27.7.2022, 04:00 Uhr 	118 cm
27.7.2022, 03:00 Uhr 	119 cm
27.7.2022, 02:00 Uhr 	119 cm
27.7.2022, 01:00 Uhr 	119 cm
27.7.2022, 00:00 Uhr 	119 cm
26.7.2022, 23:00 Uhr 	119 cm
26.7.2022, 22:00 Uhr 	120 cm
26.7.2022, 21:00 Uhr 	119 cm
26.7.2022, 20:00 Uhr 	120 cm
26.7.2022, 19:00 Uhr 	119 cm
26.7.2022, 18:00 Uhr 	120 cm
26.7.2022, 17:00 Uhr 	121 cm
26.7.2022, 16:00 Uhr 	121 cm
26.7.2022, 15:00 Uhr 	120 cm
26.7.2022, 14:00 Uhr 	121 cm
26.7.2022, 13:00 Uhr 	121 cm
26.7.2022, 12:00 Uhr 	121 cm
26.7.2022, 11:00 Uhr 	123 cm
26.7.2022, 10:00 Uhr 	122 cm
26.7.2022, 09:00 Uhr 	122 cm
26.7.2022, 08:00 Uhr 	122 cm
26.7.2022, 07:00 Uhr 	122 cm
26.7.2022, 06:00 Uhr 	121 cm
26.7.2022, 05:00 Uhr 	121 cm
26.7.2022, 04:00 Uhr 	122 cm
26.7.2022, 03:00 Uhr 	121 cm
26.7.2022, 02:00 Uhr 	121 cm
26.7.2022, 01:00 Uhr 	121 cm
26.7.2022, 00:00 Uhr 	121 cm
25.7.2022, 23:00 Uhr 	122 cm
25.7.2022, 22:00 Uhr 	122 cm
25.7.2022, 21:00 Uhr 	122 cm
25.7.2022, 20:00 Uhr 	122 cm
25.7.2022, 19:00 Uhr 	122 cm
25.7.2022, 18:00 Uhr 	124 cm
25.7.2022, 17:00 Uhr 	124 cm
25.7.2022, 16:00 Uhr 	125 cm
25.7.2022, 15:00 Uhr 	125 cm
25.7.2022, 14:00 Uhr 	125 cm
25.7.2022, 13:00 Uhr 	125 cm
25.7.2022, 12:00 Uhr 	125 cm
25.7.2022, 11:00 Uhr 	125 cm
25.7.2022, 10:00 Uhr 	125 cm
25.7.2022, 09:00 Uhr 	125 cm
25.7.2022, 08:00 Uhr 	124 cm
25.7.2022, 07:00 Uhr 	123 cm
25.7.2022, 06:00 Uhr 	123 cm
25.7.2022, 05:00 Uhr 	123 cm
25.7.2022, 04:00 Uhr 	123 cm
25.7.2022, 03:00 Uhr 	124 cm
25.7.2022, 02:00 Uhr 	124 cm
25.7.2022, 01:00 Uhr 	125 cm
25.7.2022, 00:00 Uhr 	125 cm
24.7.2022, 23:00 Uhr 	126 cm
24.7.2022, 22:00 Uhr 	127 cm
24.7.2022, 21:00 Uhr 	127 cm
24.7.2022, 20:00 Uhr 	127 cm
24.7.2022, 19:00 Uhr 	127 cm
24.7.2022, 18:00 Uhr 	127 cm
